const; 0; 20388; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
hashd; 2; 0; 0; 4228; 16158; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
length; 2; 0; 17; 213; 510; 1144; 1782; 2263; 2509; 2666; 2418; 2141; 1592; 1133; 818; 490; 302; 164; 102; 52; 44; 17; 3; 3; 1; 1; 0; 0; 1; 0; 0; 
sum; 636; 671; 681; 596; 649; 668; 674; 695; 639; 674; 654; 650; 664; 697; 677; 623; 634; 676; 642; 656; 652; 670; 671; 621; 674; 691; 697; 613; 631; 655; 657; 
rol; 1059; 230; 10; 281; 307; 732; 43; 3019; 1043; 1221; 51; 1717; 28; 10; 14; 7; 9; 31; 1490; 64; 37; 24; 57; 1140; 4031; 874; 12; 106; 317; 1719; 705; 
gnu; 629; 622; 607; 674; 657; 650; 674; 680; 638; 625; 658; 659; 655; 682; 696; 660; 653; 635; 687; 675; 692; 648; 705; 636; 656; 666; 625; 620; 707; 669; 648; 
murmur2; 627; 686; 894; 651; 624; 617; 612; 664; 793; 649; 622; 692; 709; 673; 628; 690; 703; 608; 604; 660; 613; 675; 617; 539; 595; 658; 673; 751; 624; 636; 601; 
